idade,renda,anos_estudo,score_credito,gasto_mensal,regiao
24.649720329325646,12130.09547473917,13.429114673826106,529.9890682186629,4549.8300222442485,Leste
25.74221753049642,9802.671113835368,11.693871354051861,499.1636298731306,2753.445479256467,Norte
63.27513243770227,25549.523376593457,18.47646344010465,763.386169248532,8272.695557091256,Oeste
68.32783059682697,20064.433855295883,17.924060207000377,716.9493795295289,6379.821692374331,Sul
37.292649240698665,18267.58943262617,12.475993755122959,607.5873212243572,4944.698012612484,Norte
50.41811246657744,20521.387267900667,15.689252841071724,692.3893242091226,6066.631677840399,Leste
46.372926926705986,19154.590595220718,17.594973279864753,689.063423776539,6324.941172502869,Oeste
43.45981316175312,9293.069729731273,17.914396385071495,531.095781781284,4959.850036190725,Norte
67.349354904145,24069.88393140223,20,840.4430420030023,7646.6491625014705,Leste
36.38633745023981,14587.919934369229,15.518884121589391,600.6048265023534,4479.615612659565,Oeste
57.191180256195366,28518.153341793302,18.4988880519319,759.2611489124354,8934.114652490884,Sul
25.17102921148762,20845.07042526728,14.558117086121147,608.0302372685668,5630.369222482686,Leste
28.523452677764,11814.145829344097,14.830549453281858,551.0543817584633,4430.542685582309,Oeste
33.031265523750335,16616.940275189274,12.708180653210622,659.3769821714197,5511.839395866043,Leste
61.812331206165254,19221.918864313593,18.452957426820156,691.4740296901211,4046.53218833897,Norte
63.798430054448545,25648.892387776792,19.510852925070676,802.3320294884351,6143.179902426741,Leste
28.980235701892525,20795.643458010334,17.34335891333998,714.3500323661224,6736.12231959641,Oeste
41.3262947043404,16180.962525093115,14.238877103887893,565.5611608516471,5221.432217912858,Norte
57.97418266767636,28512.209887685138,19.639140323947803,796.2129179687538,9075.007205300839,Norte
28.488335879519582,8541.525703830668,14.757469351413501,519.9642126420587,2267.3145791982492,Leste
59.42333752056584,20886.870095142367,18.71398922022157,690.2682418680967,6832.26969685238,Norte
61.73784084850922,26525.197075629356,20,784.4201925743698,7056.660251632891,Leste
26.228733726311475,16045.66525182607,11.445907390653733,500.21743817630545,3661.8412493181704,Leste
45.57753261644393,30121.05159421025,19.104553136186333,776.9182548943957,9456.37102230072,Oeste
67.75192285887897,20103.218239839865,20,850,5544.937976537811,Oeste
39.19230161001906,15022.083889389696,11.145805361423744,601.4584611379527,4402.965558692793,Leste
62.07571509759873,20089.31054803243,16.781007334186842,712.3814316423055,6518.679481334426,Leste
68.9165753708221,23901.50253514226,20,805.1598964608767,6652.992994089811,Sul
49.830387397669256,20955.05196618873,19.09855837967552,676.5734177818705,6688.739596518405,Oeste
36.52046527015045,18160.448269179138,15.754736362241488,608.4826508291965,5088.782577556985,Norte
48.43454605899751,17334.351722975473,15.038212905266308,696.0840016064273,6543.779765841864,Leste
46.22421755222604,18507.945959445082,14.30459836160708,614.0396537164057,6423.111894774901,Norte
